Time,Mid_Price,Ask_Size_1,Ask_Price_1,Bid_Price_1,Bid_Size_1
222.866,586.42,1000,586.86,585.98,100
223.964,586.485,1000,586.86,586.11,18
224.968,586.415,1000,586.86,585.97,100
225.671,586.35,100,586.73,585.97,100
226.997,586.525,100,586.73,586.32,18
227.592,586.365,18,586.7,586.03,100
228.975,586.365,18,586.7,586.03,100
229.922,586.51,200,586.73,586.29,4
230.626,586.495,18,586.7,586.29,4
231.878,586.51,100,586.73,586.29,4
232.994,586.735,1000,586.86,586.61,100
233.33,586.64,50,586.67,586.61,100
234.877,586.73,12,586.82,586.64,100
235.937,586.715,12,586.82,586.61,100
236.839,586.78,250,586.83,586.73,100
237.91,586.795,200,586.82,586.77,100
238.797,586.8,699,586.86,586.74,100
239.954,586.865,3,586.95,586.78,100
240.824,586.895,270,587,586.79,100
241.989,586.92,5,587.09,586.75,60
242.891,586.965,100,587.09,586.84,18
243.793,586.92,100,587.09,586.75,60
244.995,587.21,200,587.25,587.17,38
245.897,587.33,132,587.41,587.25,100
246.836,587.33,92,587.41,587.25,100
247.989,587.34,100,587.42,587.26,100
248.977,587.34,5,587.41,587.27,100
249.831,587.33,100,587.41,587.25,100
250.951,587.225,100,587.37,587.08,18
251.779,587.34,200,587.43,587.25,18
252.805,587.365,350,587.48,587.25,18
253.782,587.3,50,587.36,587.24,173
254.98,587.365,250,587.48,587.25,18
255.612,587.37,5,587.45,587.29,173
256.971,587.435,185,587.5,587.37,100
257.743,587.59,125,587.65,587.53,100
259,587.68,25,587.77,587.59,18
259.784,587.645,100,587.76,587.53,18
260.796,587.665,75,587.8,587.53,18
261.892,587.665,75,587.8,587.53,18
262.936,587.64,12,587.78,587.5,188
263.877,587.635,100,587.77,587.5,188
264.668,587.57,100,587.77,587.37,200
265.866,587.585,100,587.76,587.41,100
266.883,587.535,12,587.74,587.33,200
267.885,587.425,50,587.56,587.29,100
268.979,587.395,100,587.51,587.28,30
269.928,587.365,112,587.51,587.22,100
270.477,587.37,100,587.49,587.25,18
271.964,587.335,100,587.46,587.21,254
272.421,587.145,100,587.22,587.07,18
273.329,587.145,100,587.22,587.07,18
274.772,587.135,100,587.22,587.05,450
275.819,587.135,100,587.22,587.05,450
276.767,587.255,323,587.46,587.05,450
277.901,587.385,100,587.63,587.14,100
278.862,587.38,100,587.63,587.13,18
279.984,587.39,100,587.63,587.15,400
280.444,587.405,100,587.63,587.18,18
282,587.385,50,587.61,587.16,18
282.674,587.38,50,587.61,587.15,400
283.969,587.36,3,587.57,587.15,400
284.845,587.355,15,587.5,587.21,100
285.888,587.355,15,587.5,587.21,60
286.957,587.255,200,587.36,587.15,340
287.512,587.225,100,587.3,587.15,305
288.252,587.225,100,587.3,587.15,305
289.711,587.175,100,587.3,587.05,450
290.797,587.175,100,587.3,587.05,450
291.786,587.36,15,587.5,587.22,18
292.983,587.36,15,587.5,587.22,20
293.918,587.355,15,587.5,587.21,100
295.826,587.31,150,587.47,587.15,100
296.95,587.3,150,587.45,587.15,100
297.877,587.31,150,587.47,587.15,100
298.8,587.31,150,587.47,587.15,100
299.901,587.3,100,587.45,587.15,100
300.624,587.275,100,587.4,587.15,100
301.904,587.27,150,587.39,587.15,100
302.448,587.225,150,587.39,587.06,100
303.997,587.23,100,587.4,587.06,48
304.217,587.23,100,587.4,587.06,48
305.922,587.22,100,587.38,587.06,48
306.854,587.135,100,587.22,587.05,269
307.96,587.025,100,587.13,586.92,100
308.998,586.87,300,586.94,586.8,100
309.794,586.905,100,587.01,586.8,100
310.65,587,200,587.2,586.8,100
311.994,586.885,1,586.97,586.8,100
312.754,586.885,1,586.97,586.8,118
313.898,586.885,1,586.97,586.8,118
314.413,586.89,1,586.97,586.81,18
315.848,586.935,1,586.97,586.9,65
316.975,586.895,1,586.97,586.82,10
318.659,586.865,1,586.91,586.82,10
319.797,586.87,100,586.92,586.82,10
320.582,586.87,100,586.92,586.82,10
321.581,586.875,100,586.92,586.83,10
322.965,586.865,100,586.92,586.81,110
324.862,586.865,100,586.92,586.81,110
325.401,586.895,100,586.98,586.81,128
326.883,586.755,100,586.89,586.62,18
327.991,586.795,100,586.98,586.61,30
328.855,586.755,100,586.87,586.64,18
329.968,586.735,100,586.86,586.61,30
330.986,586.775,1,586.87,586.68,100
331.834,586.74,1,586.87,586.61,25
332.503,586.74,1,586.87,586.61,25
333.957,586.745,1,586.87,586.62,10
335.747,586.705,100,586.79,586.62,10
336.929,586.7,100,586.78,586.62,10
337.736,586.705,100,586.79,586.62,9
338.318,586.705,100,586.79,586.62,9
339.844,586.705,100,586.79,586.62,9
340.574,586.705,100,586.79,586.62,9
341.323,586.67,100,586.79,586.55,100
342.493,586.705,100,586.79,586.62,176
343.951,586.67,100,586.79,586.55,100
344.521,586.66,150,586.77,586.55,100
345.949,586.635,150,586.77,586.5,75
346.818,586.635,150,586.77,586.5,75
347.935,586.62,1,586.74,586.5,75
348.587,586.64,1,586.74,586.54,20
349.744,586.64,1,586.74,586.54,120
350.979,586.64,1,586.74,586.54,100
351.572,586.64,1,586.74,586.54,100
352.735,586.745,200,586.86,586.63,20
353.362,586.615,300,586.69,586.54,100
354.655,586.615,300,586.69,586.54,100
355.165,586.685,100,586.81,586.56,18
356.651,586.6,100,586.7,586.5,75
357.383,586.64,6,586.78,586.5,75
358.995,586.61,100,586.8,586.42,18
359.246,586.625,106,586.8,586.45,18
360.88,586.655,100,586.8,586.51,100
361.678,586.63,102,586.87,586.39,100
362.527,586.59,100,586.79,586.39,100
363.989,586.645,100,586.79,586.5,100
364.401,586.66,102,586.79,586.53,18
365.95,586.645,100,586.79,586.5,100
366.953,586.65,100,586.79,586.51,100
367.622,586.65,100,586.79,586.51,100
368.902,586.645,100,586.79,586.5,100
369.629,586.63,2,586.76,586.5,100
370.181,586.62,100,586.74,586.5,100
371.173,586.62,102,586.74,586.5,100
372.769,586.635,100,586.74,586.53,100
373.921,586.635,100,586.74,586.53,100
376.997,586.73,22,586.87,586.59,2
377.863,586.745,100,586.93,586.56,18
378.999,586.72,200,586.91,586.53,100
379.875,586.745,100,586.9,586.59,18
381,586.715,100,586.9,586.53,100
381.909,586.87,200,586.96,586.78,18
382.604,586.89,99,586.98,586.8,18
383.86,586.915,900,587,586.83,18
384.569,587.15,100,587.3,587,21
385.93,587.33,200,587.42,587.24,100
386.78,587.17,200,587.45,586.89,500
387.375,587.135,100,587.38,586.89,300
388.791,587.205,69,587.38,587.03,100
390,587.205,100,587.36,587.05,3
390.624,587.285,200,587.49,587.08,18
391.145,587.255,200,587.43,587.08,18
392.811,587.24,200,587.43,587.05,3
393.836,587.25,200,587.43,587.07,100
394.788,587.26,200,587.42,587.1,18
395.985,587.285,200,587.44,587.13,200
396.977,587.295,200,587.46,587.13,200
397.713,587.335,200,587.47,587.2,21
398.981,587.35,25,587.5,587.2,3
399.92,587.28,100,587.49,587.07,18
400.723,587.145,97,587.28,587.01,18
401.88,587.08,100,587.18,586.98,200
402.537,587.115,250,587.25,586.98,200
403.961,587.055,50,587.25,586.86,200
404.984,587.07,50,587.25,586.89,18
405.89,587.22,202,587.39,587.05,18
407.849,586.985,100,587.34,586.63,18
408.117,587,100,587.34,586.66,18
409.826,587.23,202,587.39,587.07,300
410.703,587.31,202,587.39,587.23,100
411.735,587.31,2,587.39,587.23,100
412.712,587.325,410,587.41,587.24,18
413.986,587.39,100,587.49,587.29,100
414.87,587.415,30,587.49,587.34,100
415.432,587.4,25,587.5,587.3,100
416.402,587.4,25,587.5,587.3,100
417.826,587.365,100,587.45,587.28,100
418.408,587.355,100,587.45,587.26,100
419.93,587.475,997,587.55,587.4,200
420.936,587.47,100,587.54,587.4,200
421.98,587.54,200,587.68,587.4,200
