Orig_Idx,Time_Interval_End,Time,Mid_Price,Ask_Size_1,Ask_Price_1,Bid_Price_1,Bid_Size_1
624,28.5,28.0765,585.67,218,585.8,585.54,18
629,29,28.9775,585.63,10,585.79,585.47,100
636,29.5,29.4824,585.635,18,585.77,585.5,18
649,30,29.9849,585.63,18,585.77,585.49,18
661,30.5,30.3526,585.645,18,585.77,585.52,8
661,31,30.3526,585.645,18,585.77,585.52,8
670,31.5,31.4375,585.665,18,585.78,585.55,18
676,32,31.7803,585.645,18,585.77,585.52,100
680,32.5,32.4934,585.665,200,585.8,585.53,18
691,33,32.7992,585.66,200,585.8,585.52,100
702,33.5,33.4659,585.665,200,585.8,585.53,18
722,34,33.8689,585.635,18,585.77,585.5,70
750,34.5,34.4161,585.685,200,585.8,585.57,18
767,35,34.7544,585.65,18,585.77,585.53,18
775,35.5,35.439,585.65,200,585.8,585.5,70
789,36,35.9552,585.65,100,585.74,585.56,18
789,36.5,35.9552,585.65,100,585.74,585.56,18
793,37,36.9572,585.625,100,585.74,585.51,200
807,37.5,37.3322,585.635,100,585.73,585.54,12
807,38,37.3322,585.635,100,585.73,585.54,12
817,38.5,38.3844,585.635,100,585.73,585.54,18
817,39,38.3844,585.635,100,585.73,585.54,18
824,39.5,39.2636,585.615,18,585.72,585.51,200
827,40,39.7216,585.6,18,585.69,585.51,200
827,40.5,39.7216,585.6,18,585.69,585.51,200
830,41,40.5951,585.6,18,585.69,585.51,200
831,41.5,41.0178,585.6,18,585.69,585.51,200
831,42,41.0178,585.6,18,585.69,585.51,200
857,42.5,42.3911,585.43,6,585.49,585.37,18
870,43,42.9353,585.41,300,585.52,585.3,281
879,43.5,43.4674,585.405,18,585.51,585.3,131
882,44,43.6787,585.41,300,585.52,585.3,150
886,44.5,44.0708,585.395,18,585.49,585.3,150
886,45,44.0708,585.395,18,585.49,585.3,150
893,45.5,45.2824,585.415,300,585.52,585.31,118
899,46,45.6948,585.42,300,585.52,585.32,119
899,46.5,45.6948,585.42,300,585.52,585.32,119
920,47,46.9647,585.34,100,585.51,585.17,18
930,47.5,47.3839,585.345,18,585.5,585.19,18
993,48,47.9047,585.505,100,585.69,585.32,100
995,48.5,48.1146,585.505,100,585.69,585.32,100
995,49,48.1146,585.505,100,585.69,585.32,100
1006,49.5,49.4929,585.545,100,585.71,585.38,18
1006,50,49.4929,585.545,100,585.71,585.38,18
1006,50.5,49.4929,585.545,100,585.71,585.38,18
1006,51,49.4929,585.545,100,585.71,585.38,18
1012,51.5,51.4441,585.56,100,585.71,585.41,18
1018,52,51.9155,585.515,100,585.71,585.32,300
1075,52.5,52.2798,585.74,200,585.8,585.68,100
1086,53,52.7409,585.59,200,585.8,585.38,6
1091,53.5,53.3651,585.56,200,585.8,585.32,300
1100,54,53.6878,585.52,100,585.68,585.36,18
1100,54.5,53.6878,585.52,100,585.68,585.36,18
1111,55,54.6316,585.485,1000,585.65,585.32,300
1113,55.5,55.3596,585.485,1000,585.65,585.32,300
1113,56,55.3596,585.485,1000,585.65,585.32,300
1119,56.5,56.1932,585.5,1080,585.65,585.35,6
1143,57,56.974,585.485,100,585.64,585.33,14
1157,57.5,57.1341,585.505,980,585.65,585.36,18
1166,58,57.7256,585.505,18,585.62,585.39,18
1179,58.5,58.2681,585.5,980,585.65,585.35,6
1186,59,58.7801,585.47,18,585.62,585.32,300
1193,59.5,59.2637,585.5,980,585.65,585.35,18
1264,60,59.9672,585.51,205,585.63,585.39,18
1292,60.5,60.3717,585.475,100,585.63,585.32,300
1302,61,60.9401,585.46,18,585.6,585.32,300
1318,61.5,61.3832,585.46,18,585.6,585.32,300
1359,62,61.9803,585.61,189,585.64,585.58,200
1369,62.5,62.4071,585.485,1080,585.65,585.32,300
1379,63,62.7089,585.5,1080,585.65,585.35,18
1388,63.5,63.4327,585.495,100,585.63,585.36,18
1394,64,63.6148,585.51,100,585.63,585.39,18
1409,64.5,64.2594,585.495,100,585.63,585.36,18
1427,65,64.8846,585.475,100,585.63,585.32,300
1429,65.5,65.0126,585.47,100,585.62,585.32,300
1434,66,65.707,585.485,100,585.62,585.35,18
1445,66.5,66.0561,585.49,100,585.63,585.35,18
1445,67,66.0561,585.49,100,585.63,585.35,18
1455,67.5,67.1552,585.485,100,585.62,585.35,18
1455,68,67.1552,585.485,100,585.62,585.35,18
1455,68.5,67.1552,585.485,100,585.62,585.35,18
1455,69,67.1552,585.485,100,585.62,585.35,18
1455,69.5,67.1552,585.485,100,585.62,585.35,18
1455,70,67.1552,585.485,100,585.62,585.35,18
1516,70.5,70.3985,585.425,100,585.62,585.23,100
1526,71,70.6074,585.44,100,585.64,585.24,18
1538,71.5,71.2476,585.48,100,585.64,585.32,18
1541,72,71.8511,585.49,100,585.64,585.34,200
1541,72.5,71.8511,585.49,100,585.64,585.34,200
1554,73,72.836,585.51,100,585.64,585.38,18
1564,73.5,73.4837,585.505,100,585.64,585.37,18
1571,74,73.9783,585.52,100,585.64,585.4,18
1571,74.5,73.9783,585.52,100,585.64,585.4,18
1581,75,74.6517,585.505,18,585.61,585.4,18
1581,75.5,74.6517,585.505,18,585.61,585.4,18
1581,76,74.6517,585.505,18,585.61,585.4,18
1581,76.5,74.6517,585.505,18,585.61,585.4,18
1590,77,76.7734,585.51,100,585.63,585.39,218
1598,77.5,77.4006,585.52,300,585.64,585.4,18
1606,78,77.7998,585.505,118,585.62,585.39,200
1617,78.5,78.3363,585.52,100,585.62,585.42,18
1634,79,78.9727,585.525,100,585.61,585.44,18
1640,79.5,79.1009,585.545,200,585.63,585.46,18
1656,80,79.9678,585.535,200,585.61,585.46,18
1656,80.5,79.9678,585.535,200,585.61,585.46,18
1669,81,80.9586,585.535,100,585.63,585.44,18
1711,81.5,81.4616,585.545,315,585.63,585.46,135
1723,82,81.9256,585.55,315,585.63,585.47,35
1727,82.5,82.4424,585.53,200,585.63,585.43,150
1734,83,82.9484,585.535,200,585.63,585.44,20
1734,83.5,82.9484,585.535,200,585.63,585.44,20
1756,84,83.9379,585.52,200,585.61,585.43,150
1790,84.5,84.4773,585.41,218,585.56,585.26,16
1809,85,84.9466,585.415,200,585.56,585.27,18
1836,85.5,85.4062,585.38,200,585.49,585.27,18
1852,86,85.9091,585.37,300,585.46,585.28,7
1874,86.5,86.423,585.395,300,585.41,585.38,41
1908,87,86.9988,585.31,200,585.4,585.22,200
1925,87.5,87.36,585.335,275,585.4,585.27,18
2063,88,87.9949,585.135,300,585.27,585,4919
2091,88.5,88.3947,585.06,120,585.12,585,4224
2151,89,88.8983,584.885,100,584.97,584.8,20
2153,89.5,89.3179,584.91,20,585.02,584.8,20
2158,90,89.8843,584.885,100,584.97,584.8,20
2159,90.5,90.3291,584.885,100,584.97,584.8,20
2170,91,90.7753,584.795,100,584.9,584.69,10
2193,91.5,91.4796,584.825,200,585,584.65,27
2209,92,91.9494,584.8,200,584.95,584.65,27
2211,92.5,92.3694,584.8,200,584.95,584.65,27
2211,93,92.3694,584.8,200,584.95,584.65,27
2213,93.5,93.2703,584.8,200,584.95,584.65,27
2215,94,93.9679,584.8,100,584.95,584.65,27
2215,94.5,93.9679,584.8,100,584.95,584.65,27
2217,95,94.6878,584.8,100,584.95,584.65,27
2217,95.5,94.6878,584.8,100,584.95,584.65,27
2219,96,95.5272,584.8,100,584.95,584.65,27
2224,96.5,96.3792,584.795,102,584.94,584.65,27
2226,97,96.8179,584.79,100,584.93,584.65,27
2239,97.5,97.3599,584.79,100,584.93,584.65,27
2256,98,97.7883,584.745,200,584.89,584.6,5
2258,98.5,98.1315,584.745,200,584.89,584.6,5
2261,99,98.7074,584.745,200,584.89,584.6,5
2261,99.5,98.7074,584.745,200,584.89,584.6,5
2262,100,99.5038,584.745,200,584.89,584.6,5
2263,100.5,100.416,584.745,200,584.89,584.6,5
2263,101,100.416,584.745,200,584.89,584.6,5
2264,101.5,101.073,584.745,200,584.89,584.6,5
2266,102,101.767,584.745,200,584.89,584.6,5
2266,102.5,101.767,584.745,200,584.89,584.6,5
2268,103,102.508,584.745,200,584.89,584.6,5
2275,103.5,103.484,584.75,100,584.9,584.6,5
2281,104,103.697,584.77,102,584.94,584.6,5
2281,104.5,103.697,584.77,102,584.94,584.6,5
2281,105,103.697,584.77,102,584.94,584.6,5
2380,105.5,105.368,585,50,585.4,584.6,105
2392,106,105.989,585.035,50,585.4,584.67,120
2397,106.5,106.014,584.945,100,585.22,584.67,120
2404,107,106.966,585.035,50,585.4,584.67,120
2420,107.5,107.406,584.985,100,585.3,584.67,120
2420,108,107.406,584.985,100,585.3,584.67,120
2423,108.5,108.485,584.985,100,585.3,584.67,120
2423,109,108.485,584.985,100,585.3,584.67,120
2436,109.5,109.452,584.96,1,585.04,584.88,100
2484,110,109.999,584.955,1,585.03,584.88,100
2543,110.5,110.4,585.05,1,585.22,584.88,100
2557,111,110.998,585.115,1,585.35,584.88,100
2593,111.5,111.409,584.855,1,585.04,584.67,20
2618,112,111.822,584.855,1,585.04,584.67,20
2657,112.5,112.371,584.955,1,585.24,584.67,20
2692,113,112.999,585.045,1,585.24,584.85,100
2702,113.5,113.024,585.035,1,585.22,584.85,100
2707,114,113.996,584.945,1,585.04,584.85,100
